Complexity,Loss,Equation
1,0.02432859,"-0.74062186"
3,0.01905558,"-0.23960543 - x0"
4,0.005070631,"exp(x0) * -0.42062402"
5,0.00044072073,"-0.47450593 - (x0 * 0.5311364)"
6,0.00022199276,"exp(x0 * -0.76735896) + -1.4385327"
8,0.00022056578,"(exp(x0 * -0.695273) + -1.4121426) / 0.93392736"
9,0.00020272864,"(((x0 * 0.20372345) - 0.73526627) * x0) + -0.4406227"
10,0.00016351428,"(((square(x0) * 0.14421631) - 0.66170967) * x0) + -0.44557878"
11,0.00014642306,"((-1.6166346 / (square(square(x0)) + 2.3583057)) - x0) * 0.65057254"
12,0.000119689124,"-0.46486294 - ((square(x0 - (x0 * x0)) - -0.5173843) * x0)"
